niva,omrade_kod,namn,mandat_2022,mandat_2026
kommun,0114,Upplands Väsby,51,61
kommun,0115,Vallentuna,51,51
kommun,0117,Österåker,51,61
kommun,0120,Värmdö,51,51
kommun,0123,Järfälla,61,61
kommun,0125,Ekerö,41,41
kommun,0126,Huddinge,61,61
kommun,0127,Botkyrka,75,75
kommun,0128,Salem,31,31
kommun,0136,Haninge,61,61
kommun,0138,Tyresö,51,61
kommun,0139,Upplands-Bro,41,51
kommun,0140,Nykvarn,31,31
kommun,0160,Täby,61,61
kommun,0162,Danderyd,51,51
kommun,0163,Sollentuna,61,61
kommun,0180,Stockholm,101,101
kommun,0181,Södertälje,65,65
kommun,0182,Nacka,61,61
kommun,0183,Sundbyberg,61,61
kommun,0184,Solna,61,61
kommun,0186,Lidingö,61,61
kommun,0187,Vaxholm,31,31
kommun,0188,Norrtälje,61,61
kommun,0191,Sigtuna,61,61
kommun,0192,Nynäshamn,41,41
kommun,0305,Håbo,41,41
kommun,0319,Älvkarleby,31,31
kommun,0330,Knivsta,31,31
kommun,0331,Heby,41,41
kommun,0360,Tierp,49,41
kommun,0380,Uppsala,81,81
kommun,0381,Enköping,51,61
kommun,0382,Östhammar,49,49
kommun,0428,Vingåker,31,31
kommun,0461,Gnesta,31,31
kommun,0480,Nyköping,61,61
kommun,0481,Oxelösund,31,31
kommun,0482,Flen,39,39
kommun,0483,Katrineholm,51,51
kommun,0484,Eskilstuna,65,65
kommun,0486,Strängnäs,55,55
kommun,0488,Trosa,35,35
kommun,0509,Ödeshög,35,29
kommun,0512,Ydre,21,21
kommun,0513,Kinda,35,35
kommun,0560,Boxholm,29,29
kommun,0561,Åtvidaberg,35,35
kommun,0562,Finspång,45,45
kommun,0563,Valdemarsvik,35,31
kommun,0580,Linköping,79,79
kommun,0581,Norrköping,85,85
kommun,0582,Söderköping,39,39
kommun,0583,Motala,57,57
kommun,0584,Vadstena,35,35
kommun,0586,Mjölby,45,45
kommun,0604,Aneby,35,35
kommun,0617,Gnosjö,35,35
kommun,0642,Mullsjö,31,31
kommun,0643,Habo,35,35
kommun,0662,Gislaved,49,49
kommun,0665,Vaggeryd,41,41
kommun,0680,Jönköping,81,81
kommun,0682,Nässjö,57,57
kommun,0683,Värnamo,51,51
kommun,0684,Sävsjö,39,39
kommun,0685,Vetlanda,45,45
kommun,0686,Eksjö,49,49
kommun,0687,Tranås,41,41
kommun,0760,Uppvidinge,35,31
kommun,0761,Lessebo,35,35
kommun,0763,Tingsryd,41,41
kommun,0764,Alvesta,49,49
kommun,0765,Älmhult,41,41
kommun,0767,Markaryd,35,35
kommun,0780,Växjö,61,61
kommun,0781,Ljungby,49,49
kommun,0821,Högsby,31,31
kommun,0834,Torsås,35,31
kommun,0840,Mörbylånga,43,43
kommun,0860,Hultsfred,45,45
kommun,0861,Mönsterås,49,49
kommun,0862,Emmaboda,41,35
kommun,0880,Kalmar,61,61
kommun,0881,Nybro,41,41
kommun,0882,Oskarshamn,49,49
kommun,0883,Västervik,57,57
kommun,0884,Vimmerby,49,45
kommun,0885,Borgholm,35,35
kommun,0980,Gotland,71,71
kommun,1060,Olofström,49,49
kommun,1080,Karlskrona,75,75
kommun,1081,Ronneby,49,49
kommun,1082,Karlshamn,51,51
kommun,1083,Sölvesborg,49,49
kommun,1214,Svalöv,35,35
kommun,1230,Staffanstorp,41,41
kommun,1231,Burlöv,41,41
kommun,1233,Vellinge,51,51
kommun,1256,Östra Göinge,31,31
kommun,1257,Örkelljunga,37,37
kommun,1260,Bjuv,31,31
kommun,1261,Kävlinge,49,51
kommun,1262,Lomma,45,45
kommun,1263,Svedala,45,45
kommun,1264,Skurup,41,39
kommun,1265,Sjöbo,41,41
kommun,1266,Hörby,31,31
kommun,1267,Höör,41,41
kommun,1270,Tomelilla,41,41
kommun,1272,Bromölla,41,31
kommun,1273,Osby,41,35
kommun,1275,Perstorp,27,27
kommun,1276,Klippan,35,35
kommun,1277,Åstorp,31,31
kommun,1278,Båstad,41,37
kommun,1280,Malmö,61,61
kommun,1281,Lund,65,65
kommun,1282,Landskrona,51,61
kommun,1283,Helsingborg,65,65
kommun,1284,Höganäs,41,41
kommun,1285,Eslöv,51,51
kommun,1286,Ystad,51,51
kommun,1287,Trelleborg,61,61
kommun,1290,Kristianstad,65,65
kommun,1291,Simrishamn,41,41
kommun,1292,Ängelholm,51,51
kommun,1293,Hässleholm,61,61
kommun,1315,Hylte,41,41
kommun,1380,Halmstad,71,71
kommun,1381,Laholm,41,41
kommun,1382,Falkenberg,61,61
kommun,1383,Varberg,61,61
kommun,1384,Kungsbacka,61,61
kommun,1401,Härryda,51,51
kommun,1402,Partille,51,51
kommun,1407,Öckerö,41,41
kommun,1415,Stenungsund,51,51
kommun,1419,Tjörn,41,41
kommun,1421,Orust,41,41
kommun,1427,Sotenäs,31,31
kommun,1430,Munkedal,35,35
kommun,1435,Tanum,41,39
kommun,1438,Dals-Ed,31,31
kommun,1439,Färgelanda,31,29
kommun,1440,Ale,49,49
kommun,1441,Lerum,51,51
kommun,1442,Vårgårda,41,41
kommun,1443,Bollebygd,31,31
kommun,1444,Grästorp,31,27
kommun,1445,Essunga,31,31
kommun,1446,Karlsborg,31,31
kommun,1447,Gullspång,31,31
kommun,1452,Tranemo,37,37
kommun,1460,Bengtsfors,31,31
kommun,1461,Mellerud,31,31
kommun,1462,Lilla Edet,31,31
kommun,1463,Mark,51,51
kommun,1465,Svenljunga,33,33
kommun,1466,Herrljunga,31,31
kommun,1470,Vara,45,41
kommun,1471,Götene,41,35
kommun,1472,Tibro,35,35
kommun,1473,Töreboda,31,31
kommun,1480,Göteborg,81,81
kommun,1481,Mölndal,61,61
kommun,1482,Kungälv,61,61
kommun,1484,Lysekil,31,31
kommun,1485,Uddevalla,61,61
kommun,1486,Strömstad,39,39
kommun,1487,Vänersborg,51,51
kommun,1488,Trollhättan,61,61
kommun,1489,Alingsås,51,51
kommun,1490,Borås,73,73
kommun,1491,Ulricehamn,49,49
kommun,1492,Åmål,35,35
kommun,1493,Mariestad,49,49
kommun,1494,Lidköping,51,51
kommun,1495,Skara,45,45
kommun,1496,Skövde,61,61
kommun,1497,Hjo,33,33
kommun,1498,Tidaholm,41,41
kommun,1499,Falköping,51,51
kommun,1715,Kil,41,41
kommun,1730,Eda,35,25
kommun,1737,Torsby,31,31
kommun,1760,Storfors,27,25
kommun,1761,Hammarö,31,31
kommun,1762,Munkfors,21,21
kommun,1763,Forshaga,41,41
kommun,1764,Grums,31,31
kommun,1765,Årjäng,35,35
kommun,1766,Sunne,41,41
kommun,1780,Karlstad,61,61
kommun,1781,Kristinehamn,41,41
kommun,1782,Filipstad,37,25
kommun,1783,Hagfors,35,35
kommun,1784,Arvika,49,49
kommun,1785,Säffle,41,41
kommun,1814,Lekeberg,35,35
kommun,1860,Laxå,31,31
kommun,1861,Hallsberg,45,45
kommun,1862,Degerfors,31,31
kommun,1863,Hällefors,31,27
kommun,1864,Ljusnarsberg,21,21
kommun,1880,Örebro,65,65
kommun,1881,Kumla,45,45
kommun,1882,Askersund,33,33
kommun,1883,Karlskoga,51,51
kommun,1884,Nora,35,35
kommun,1885,Lindesberg,45,45
kommun,1904,Skinnskatteberg,25,25
kommun,1907,Surahammar,31,31
kommun,1960,Kungsör,31,31
kommun,1961,Hallstahammar,37,37
kommun,1962,Norberg,31,21
kommun,1980,Västerås,61,61
kommun,1981,Sala,45,45
kommun,1982,Fagersta,35,35
kommun,1983,Köping,49,49
kommun,1984,Arboga,31,31
kommun,2021,Vansbro,31,31
kommun,2023,Malung-Sälen,39,39
kommun,2026,Gagnef,35,35
kommun,2029,Leksand,41,41
kommun,2031,Rättvik,39,39
kommun,2034,Orsa,31,31
kommun,2039,Älvdalen,35,35
kommun,2061,Smedjebacken,35,35
kommun,2062,Mora,41,41
kommun,2080,Falun,61,61
kommun,2081,Borlänge,61,61
kommun,2082,Säter,35,35
kommun,2083,Hedemora,35,35
kommun,2084,Avesta,41,41
kommun,2085,Ludvika,45,45
kommun,2101,Ockelbo,31,31
kommun,2104,Hofors,31,31
kommun,2121,Ovanåker,35,35
kommun,2132,Nordanstig,31,31
kommun,2161,Ljusdal,41,41
kommun,2180,Gävle,65,65
kommun,2181,Sandviken,51,51
kommun,2182,Söderhamn,49,49
kommun,2183,Bollnäs,45,45
kommun,2184,Hudiksvall,51,51
kommun,2260,Ånge,35,35
kommun,2262,Timrå,41,41
kommun,2280,Härnösand,43,43
kommun,2281,Sundsvall,71,71
kommun,2282,Kramfors,41,35
kommun,2283,Sollefteå,45,39
kommun,2284,Örnsköldsvik,61,61
kommun,2303,Ragunda,25,25
kommun,2305,Bräcke,27,27
kommun,2309,Krokom,41,41
kommun,2313,Strömsund,35,35
kommun,2321,Åre,37,37
kommun,2326,Berg,31,31
kommun,2361,Härjedalen,31,31
kommun,2380,Östersund,61,61
kommun,2401,Nordmaling,31,31
kommun,2403,Bjurholm,21,21
kommun,2404,Vindeln,31,29
kommun,2409,Robertsfors,31,31
kommun,2417,Norsjö,27,27
kommun,2418,Malå,25,25
kommun,2421,Storuman,31,31
kommun,2422,Sorsele,21,21
kommun,2425,Dorotea,25,25
kommun,2460,Vännäs,31,31
kommun,2462,Vilhelmina,27,27
kommun,2463,Åsele,25,25
kommun,2480,Umeå,65,65
kommun,2481,Lycksele,31,31
kommun,2482,Skellefteå,65,65
kommun,2505,Arvidsjaur,23,23
kommun,2506,Arjeplog,21,21
kommun,2510,Jokkmokk,23,23
kommun,2513,Överkalix,25,25
kommun,2514,Kalix,37,37
kommun,2518,Övertorneå,25,25
kommun,2521,Pajala,21,21
kommun,2523,Gällivare,35,35
kommun,2560,Älvsbyn,31,27
kommun,2580,Luleå,61,61
kommun,2581,Piteå,51,51
kommun,2582,Boden,49,49
kommun,2583,Haparanda,31,31
kommun,2584,Kiruna,45,45
region,01,Stockholm,149,149
region,03,Uppsala,101,101
region,04,Södermanland,79,79
region,05,Östergötland,101,101
region,06,Jönköping,81,81
region,07,Kronoberg,61,61
region,08,Kalmar,67,67
region,10,Blekinge,57,57
region,12,Skåne,149,149
region,13,Halland,71,71
region,14,Västra Götaland,149,149
region,17,Värmland,81,81
region,18,Örebro,71,71
region,19,Västmanland,77,77
region,20,Dalarna,83,83
region,21,Gävleborg,75,75
region,22,Västernorrland,71,71
region,23,Jämtland,55,55
region,24,Västerbotten,71,71
region,25,Norrbotten,71,71
