ar,valdag,matning_datum,matning_text,dagar_fore_val,institut,parti,matning,utfall,kalla
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,M,25.4,26.23,Wikipedia
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,L,9.3,7.54,Wikipedia
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,C,6.8,7.88,Wikipedia
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,KD,6.7,6.59,Wikipedia
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,S,34.2,34.99,Wikipedia
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,MP,5.2,5.24,Wikipedia
2006,2006-09-17,2006-09-05,5 september 2006 (Sifo),12,Sifo,V,7.7,5.85,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,M,32.1,30.06,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,L,7.0,7.06,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,C,5.3,6.56,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,KD,4.7,5.60,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,S,30.6,30.66,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,MP,8.9,7.34,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,V,4.7,5.60,Wikipedia
2010,2010-09-19,2010-07-15,Juli 2010,66,,SD,4.5,5.70,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,M,20.9,23.33,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,L,5.9,5.42,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,C,6.8,6.11,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,KD,4.9,4.57,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,S,29.2,31.01,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,MP,9.7,6.89,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,V,7.2,5.72,Wikipedia
2014,2014-09-14,2014-09-05,September 2014 (3),9,,SD,10.2,12.86,Wikipedia
