namn,parti,valkrets,fodd
Arin Karapet,-,Stockholms kommun,1988
Daniel Riazat,-,Stockholms län,1991
Elsa Widding,-,Stockholms kommun,1968
Jamal El-Haj,-,Malmö kommun,1960
Katja Nyberg,-,Kronobergs län,1971
Lorena Delgado Varas,-,Stockholms kommun,1974
Malcolm Momodou Jallow,-,Malmö kommun,1975
Marléne Lund Kopparklint,-,Värmlands län,1973
Sara-Lena Bjälkö,-,Hallands län,1976
Alireza Akhondi,C,Stockholms län,1980
Anders Karlsson,C,Jönköpings län,1961
Anders W Jonsson,C,Gävleborgs län,1961
Anders Ådahl,C,Västra Götalands läns västra,1972
Anna Lasses,C,Stockholms län,1977
Anne-Li Sjölund,C,Västernorrlands län,1966
Annie Lööf,C,Jönköpings län,1983
Catarina Deremar,C,Uppsala län,1965
Christofer Bergenblock,C,Hallands län,1974
Daniel Bäckström,C,Värmlands län,1975
Elisabeth Thand Ringqvist,C,Stockholms kommun,1972
Helena Lindahl,C,Västerbottens län,1972
Helena Vilhelmsson,C,Örebro län,1965
Jonny Cato,C,Skåne läns västra,1994
Kerstin Lundgren,C,Stockholms län,1955
Madeleine Atlas,C,Skåne läns västra,1968
Malin Björk,C,Stockholms kommun,1969
Martin Ådahl,C,Stockholms kommun,1969
Martina Johansson,C,Södermanlands län,1975
Mikael Larsson,C,Västra Götalands läns södra,1989
Muharrem Demirok,C,Östergötlands län,1976
Niels Paarup-Petersen,C,Malmö kommun,1978
Rickard Nordin,C,Göteborgs kommun,1983
Stina Larsson,C,Skåne läns södra,1977
Ulrika Heie,C,Västra Götalands läns östra,1965
Ulrika Liljeberg,C,Dalarnas län,1969
Acko Ankarberg Johansson,KD,Jönköpings län,1964
Andreas Carlson,KD,Jönköpings län,1987
Camilla Brodin,KD,Stockholms kommun,1979
Cecilia Engström,KD,Skåne läns södra,1972
Christian Carlsson,KD,Stockholms län,1987
Ebba Busch,KD,Västra Götalands läns östra,1987
Gudrun Brunegård,KD,Kalmar län,1957
Hans Eklind,KD,Örebro län,1966
Ingemar Kihlström,KD,Västra Götalands läns södra,1966
Jakob Forssmed,KD,Stockholms län,1974
Kjell-Arne Ottosson,KD,Värmlands län,1975
Larry Söder,KD,Hallands län,1969
Lili André,KD,Gävleborgs län,1970
Magnus Berntsson,KD,Göteborgs kommun,1973
Magnus Jacobsson,KD,Västra Götalands läns norra,1968
Magnus Oscarsson,KD,Östergötlands län,1970
Mathias Bengtsson,KD,Dalarnas län,1998
Mikael Oscarsson,KD,Uppsala län,1967
Roland Utbult,KD,Västra Götalands läns västra,1951
Torsten Elofsson,KD,Skåne läns norra och östra,1950
