kommunkod,kommun,antal_valkretsar,sparr
0114,Upplands Väsby,1,2.0
0115,Vallentuna,1,2.0
0117,Österåker,1,2.0
0120,Värmdö,1,2.0
0123,Järfälla,1,2.0
0125,Ekerö,1,2.0
0126,Huddinge,1,2.0
0127,Botkyrka,1,2.0
0128,Salem,1,2.0
0136,Haninge,2,3.0
0138,Tyresö,1,2.0
0139,Upplands-Bro,1,2.0
0140,Nykvarn,1,2.0
0160,Täby,2,3.0
0162,Danderyd,1,2.0
0163,Sollentuna,1,2.0
0180,Stockholm,6,3.0
0181,Södertälje,1,2.0
0182,Nacka,2,3.0
0183,Sundbyberg,1,2.0
0184,Solna,1,2.0
0186,Lidingö,1,2.0
0187,Vaxholm,1,2.0
0188,Norrtälje,1,2.0
0191,Sigtuna,1,2.0
0192,Nynäshamn,1,2.0
0305,Håbo,1,2.0
0319,Älvkarleby,1,2.0
0330,Knivsta,1,2.0
0331,Heby,1,2.0
0360,Tierp,1,2.0
0380,Uppsala,1,2.0
0381,Enköping,1,2.0
0382,Östhammar,1,2.0
0428,Vingåker,1,2.0
0461,Gnesta,1,2.0
0480,Nyköping,1,2.0
0481,Oxelösund,1,2.0
0482,Flen,1,2.0
0483,Katrineholm,1,2.0
0484,Eskilstuna,1,2.0
0486,Strängnäs,1,2.0
0488,Trosa,1,2.0
0509,Ödeshög,1,2.0
0512,Ydre,1,2.0
0513,Kinda,1,2.0
0560,Boxholm,1,2.0
0561,Åtvidaberg,1,2.0
0562,Finspång,1,2.0
0563,Valdemarsvik,1,2.0
0580,Linköping,3,3.0
0581,Norrköping,1,2.0
0582,Söderköping,1,2.0
0583,Motala,1,2.0
0584,Vadstena,1,2.0
0586,Mjölby,1,2.0
0604,Aneby,1,2.0
0617,Gnosjö,1,2.0
0642,Mullsjö,1,2.0
0643,Habo,1,2.0
0662,Gislaved,1,2.0
0665,Vaggeryd,1,2.0
0680,Jönköping,1,2.0
0682,Nässjö,1,2.0
0683,Värnamo,1,2.0
0684,Sävsjö,1,2.0
0685,Vetlanda,1,2.0
0686,Eksjö,1,2.0
0687,Tranås,1,2.0
0760,Uppvidinge,1,2.0
0761,Lessebo,1,2.0
0763,Tingsryd,1,2.0
0764,Alvesta,1,2.0
0765,Älmhult,1,2.0
0767,Markaryd,1,2.0
0780,Växjö,1,2.0
0781,Ljungby,1,2.0
0821,Högsby,1,2.0
0834,Torsås,1,2.0
0840,Mörbylånga,1,2.0
0860,Hultsfred,1,2.0
0861,Mönsterås,1,2.0
0862,Emmaboda,1,2.0
0880,Kalmar,2,3.0
0881,Nybro,1,2.0
0882,Oskarshamn,1,2.0
0883,Västervik,1,2.0
0884,Vimmerby,1,2.0
0885,Borgholm,1,2.0
0980,Gotland,1,2.0
1060,Olofström,1,2.0
1080,Karlskrona,3,3.0
1081,Ronneby,1,2.0
