kommunkod,kommun,valkretskod,valkretsnamn,V,S,MP,C,L,M,KD,SD
0136,Haninge,13601,Haninge Norra,7.2,28.96,2.45,5.93,5.65,25.7,4.25,17.01
0136,Haninge,13602,Haninge Södra,8.32,29.9,2.82,5.5,3.49,20.13,4.89,20.96
0160,Täby,16001,Täby  Västra,1.66,16.91,3.9,8.55,15.14,39.71,5.31,7.89
0160,Täby,16002,Täby Östra,2.6,17.07,3.74,8.13,13.57,39.35,5.77,8.71
0180,Stockholm,18001,1 Södermalm-Enskede,18.57,32.44,7.95,6.67,7.24,13.77,2.89,6.82
0180,Stockholm,18002,2 Bromma-Kungsholmen,8.63,25.33,5.84,9.05,11.77,23.85,4.69,7.4
0180,Stockholm,18003,3 Norrmalm-Östermalm-Gamla Stan,6.54,20.17,5.18,8.21,12.33,30.53,5.94,7.61
0180,Stockholm,18004,4 Östra Söderort,23.02,33.61,6.42,4.65,4.47,11.31,2.62,9.56
0180,Stockholm,18005,5 Västra Söderort,19.51,33.41,6.23,5.85,5.81,14.03,2.89,8.06
0180,Stockholm,18006,6 Yttre Västerort,17.11,32.93,3.82,5.07,5.11,15.06,3.88,9.38
0182,Nacka,18201,Nacka Västra,5.88,23.52,6.15,7.74,5.61,28.67,3.06,6.52
0182,Nacka,18202,Nacka  Östra,5.78,19.43,4.11,7.45,5.47,34.63,3.65,8.06
0580,Linköping,58001,Linköping Nordväst,8.22,30.75,5.7,6.66,4.78,18.04,4.84,12.19
0580,Linköping,58002,Linköping Sydväst,7.24,27.37,6.82,7.79,5.4,19.36,5.31,11.26
0580,Linköping,58003,Linköping Nordost,4.94,26.99,4.99,6.44,5.12,22.95,5.19,12.64
0880,Kalmar,88001,Kalmar Norra,7.14,39.87,3.46,5.35,3.37,20.08,6.19,12.8
0880,Kalmar,88002,Kalmar Södra,6.25,36.54,4.19,6.46,3.75,22.03,6.48,12.58
1080,Karlskrona,108001,Karlskrona Ö,4.24,32.26,2.32,6.43,3.12,20.42,8.25,22.77
1080,Karlskrona,108002,Karlskrona V,5.91,34.11,2.38,5.7,2.92,17.76,6.57,24.32
1080,Karlskrona,108003,Karlskrona C,7.03,31.55,3.68,5.32,5.06,23.31,7.1,16.56
1280,Malmö,128001,Malmö Östra,13.62,33.46,5.51,3.53,4.11,16.72,1.97,14.74
1280,Malmö,128002,Malmö Västra,13.62,28.04,5.46,4.02,5.59,21.99,2.41,15.13
1287,Trelleborg,128701,"Trelleborgs  Första, Västra-Norra",3.19,24.78,2.48,4.53,3.98,20.91,6.71,24.85
1287,Trelleborg,128702,"Trelleborgs Andra, Östra",3.51,22.43,2.71,4.68,3.31,17.35,6.73,19.57
1290,Kristianstad,129001,Väster,5.3,25.53,1.6,4.48,10.25,19.49,5.37,26.51
1290,Kristianstad,129002,Öster,5.43,25.23,1.67,4.51,12.66,21.58,4.49,21.74
1383,Varberg,138301,Varbergs norra valkrets,4.65,29.95,1.86,9.01,5.42,21.17,6.27,15.45
1383,Varberg,138302,Varbergs södra valkrets,4.52,31.03,1.88,9.43,6.13,22.45,4.77,12.34
1488,Trollhättan,148801,Trollhättan Norra,6.17,34.83,3.08,4.32,2.92,30.61,3.41,14.09
1488,Trollhättan,148802,Trollhättan Södra,8.08,34.7,2.11,7.1,2.05,23.65,4.4,16.88
1490,Borås,149001,Borås 1,7.98,31.25,2.8,6.16,4.55,18.21,9.57,17.72
1490,Borås,149002,Borås 2,8.86,27.51,3.33,5.52,6.05,20.38,8.72,18.56
1490,Borås,149003,Borås 3,7.53,28.8,3.27,6.14,5.23,19.81,8.67,19.26
1880,Örebro,188001,Örebro Norra,9.17,32.42,3.76,7.17,5.8,14.42,6.1,10.65
1880,Örebro,188002,Örebro Södra,7.76,28.86,3.68,7.76,7.7,19.36,5.65,10.73
2281,Sundsvall,228101,Sundsvalls  Första,8.17,39.71,2.76,5.48,4.87,20.29,5.89,12.22
2281,Sundsvall,228102,Sundsvalls Andra,5.89,39.0,2.49,6.73,4.02,17.94,6.54,16.85
2284,Örnsköldsvik,228401,Örnsköldsviks Norra,6.84,36.29,1.58,19.25,1.69,16.29,8.67,8.17
2284,Örnsköldsvik,228402,Örnsköldsviks Södra,6.41,38.04,1.39,18.89,1.31,14.36,9.03,9.36
2480,Umeå,248001,Umeå centrala,16.52,36.11,7.83,7.09,4.02,15.19,2.93,5.2
2480,Umeå,248002,Umeå omland,9.16,36.94,4.62,9.01,3.45,20.77,4.14,8.08
