kommunkod,kommun,partier,majoritet,kso_parti,lokalt_partinamn,kso_lokalt_namn
0114,Upplands Väsby,S+L+ÖP,Minoritet,S,Väsbys Bästa,
0115,Vallentuna,C+L+M+KD,Majoritet,M,,
0117,Österåkers,C+L+M+KD,Majoritet,M,,
0120,Värmdö,S+MP+C+L,Minoritet,S,,
0123,Järfälla,S+M,Majoritet,S,,
0125,Ekerö,S+MP+C+L+KD,Majoritet,S,,
0126,Huddinge,S+MP+C+ÖP,Minoritet,S,Huddingepartiet,
0127,Botkyrka,C+M+KD+ÖP,Minoritet,M,Tullingepartiet,
0128,Salems,S+C+L+ÖP,Minoritet,S,Rönningepartiet,
0136,Haninge,L+M+KD,Minoritet,M,,
0138,Tyresö,S+M,Majoritet,S,,
0139,Upplands-Bro,C+L+M+KD,Minoritet,M,,
0140,Nykvarns,S+MP+C+ÖP,Majoritet,S,Nykvarnspartiet,
0160,Täby,C+L+M+KD,Majoritet,M,,
0162,Danderyds,L+M+KD,Majoritet,M,,
0163,Sollentuna,C+L+M+KD,Majoritet,M,,
0180,Stockholms,V+S+MP,Majoritet,S,,
0181,Södertälje,S+MP+M,Majoritet,S,,
0182,Nacka,C+L+M+KD,Minoritet,M,,
0183,Sundbybergs,V+S+MP+C,Majoritet,S,,
0184,Solna,V+S+MP+C,Majoritet,S,,
0186,Lidingö,M+ÖP,Minoritet,M,Lidingöpartiet,
0187,Vaxholms,V+S+L+M+KD,Majoritet,M,,
0188,Norrtälje,S+MP+C+L,Minoritet,S,,
0191,Sigtuna,M+KD+SD+ÖP,Majoritet,M,Samling för Sigtuna (SfS),
0192,Nynäshamns,C+L+M+KD,Minoritet,M,,
0305,Håbo,S+C+M+KD,Majoritet,M,,
0319,Älvkarleby,V+S+MP+C+ÖP,Majoritet,S,Kommunens väl,
0330,Knivsta,KD+ÖP,Minoritet,ÖP,Knivsta.nu (KNU),Knivsta.nu (KNU)
0331,Heby,V+S+MP+C,Majoritet,C/S,,Roterar
0360,Tierps,C+L+M+KD,Minoritet,C,,
0380,Uppsala,V+S+MP,Minoritet,S,,
0381,Enköpings,MP+C+L+M+KD+ÖP,Majoritet,M,Nystart Enköping,
0382,Östhammars,M+KD+SD+ÖP,Majoritet,M,Lokalpartiet BOA,
0428,Vingåkers,C+M+KD,Minoritet,M,,
0461,Gnesta,S+M,Minoritet,S,,
0480,Nyköpings,S+M,Majoritet,S,,
0481,Oxelösunds,L+M+KD+SD,Majoritet,M,,
0482,Flens,S+C,Minoritet,S,,
0483,Katrineholms,S+M,Majoritet,S,,
0484,Eskilstuna,S+M,Majoritet,S,,
0486,Strängnäs,S+M,Majoritet,M,,
0488,Trosa,C+L+M+KD,Majoritet,M,,
0509,Ödeshögs,S+C+M,Majoritet,M,,
0512,Ydre,C+M,Majoritet,C,,
0513,Kinda,S+M+KD,Majoritet,M,,
0560,Boxholms,S,Minoritet,S,,
0561,Åtvidabergs,V+S+MP+C+L,Majoritet,S,,
0562,Finspångs,S+C+L,Minoritet,S,,
0563,Valdemarsviks,M+KD+SD+ÖP,Majoritet,M,Landsbygdspartiet Oberoende (LPo),
0580,Linköpings,S+M,Minoritet,S,,
0581,Norrköpings,S+C+L+KD,Minoritet,S,,
0582,Söderköpings,S+M+KD,Majoritet,M,,
0583,Motala,M+KD+SD,Minoritet,M,,
0584,Vadstena,S+M+KD,Majoritet,M,,
0586,Mjölby,S+MP+C+L+KD,Majoritet,S,,
0604,Aneby,S+C+KD,Majoritet,C,,
0617,Gnosjö,C+M+KD,Majoritet,M,,
0642,Mullsjö,S+C+L+KD,Majoritet,KD,,
0643,Habo,C+L+M+KD,Majoritet,M,,
0662,Gislaveds,S+C+L+M+ÖP,Majoritet,S/M,Westbopartiet,Roterar
0665,Vaggeryds,S+M,Majoritet,M/S,,Roterar
0680,Jönköpings,S+C+L,Minoritet,S,,
0682,Nässjö,V+S+C+KD,Minoritet,S,,
0683,Värnamo,C+L+M+KD,Majoritet,M,,
0684,Sävsjö,S+C+KD,Majoritet,KD,,
0685,Vetlanda,M+SD+ÖP,Majoritet,M,Vetlanda framåtanda,
0686,Eksjö,S+M,Majoritet,M,,
0687,Tranås,L+M+KD,Minoritet,M,,
0760,Uppvidinge,V+S+M+ÖP,Majoritet,M,Landsbygdspartiet Oberoende,
0761,Lessebo,V+S+C,Majoritet,S,,
0763,Tingsryds,C+M+KD,Minoritet,M,,
0764,Alvesta,S+C+KD,Minoritet,S,,
0765,Älmhults,S+C,Majoritet,S,,
0767,Markaryds,C+M+KD,Majoritet,KD,,
0780,Växjö,V+S+MP,Minoritet,S,,
0781,Ljungby,C+M+KD,Minoritet,M,,
0821,Högsby,V+S+C,Majoritet,C,,
0834,Torsås,V+S+C+M,Majoritet,S,,
0840,Mörbylånga,S+M,Majoritet,S,,
0860,Hultsfreds,C+M+KD,Majoritet,C,,
0861,Mönsterås,C+L+M+KD,Minoritet,C,,
0862,Emmaboda,C+KD,Minoritet,C,,
0880,Kalmar,V+S+C,Majoritet,S,,
0881,Nybro,S+C,Minoritet,S,,
0882,Oskarshamns,S+M,Majoritet,S,,
0883,Västerviks,L+M+KD+ÖP,Minoritet,M,Westervikspartiet (W),
0884,Vimmerby,V+S+C,Majoritet,S,,
0885,Borgholms,V+S+C,Majoritet,S,,
0980,Region Gotland (kommun),S+M,Majoritet,S,,
1060,Olofströms,S+C,Majoritet,S,,
1080,Karlskrona,L+M+KD+SD,Majoritet,M,,
1081,Ronneby,S+M,Minoritet,M,,
1082,Karlshamns,M+KD+SD,Majoritet,M,,
1083,Sölvesborgs,S+C+M+ÖP,Minoritet,S,SoL,
1214,Svalövs,M+KD+SD,Majoritet,SD,,
1230,Staffanstorps,M+SD,Majoritet,M,,
1231,Burlövs,C+L+M,Minoritet,M,,
1233,Vellinge,M,Minoritet,M,,
1256,Östra Göinge,C+M+KD,Majoritet,M,,
1257,Örkelljunga,M+SD,Majoritet,SD,,
1260,Bjuvs,M+SD,Majoritet,SD,,
1261,Kävlinge,M+KD+SD,Majoritet,M,,
1262,Lomma,C+M+KD,Minoritet,M,,
1263,Svedala,C+L+M+KD+ÖP,Minoritet,M,Barapartiet,
1264,Skurups,M+KD+SD,Minoritet,M,,
1265,Sjöbo,S+C+L+M,Minoritet,M,,
1266,Hörby,M+SD,Majoritet,SD,,
1267,Höörs,C+L+M+KD,Minoritet,M,,
1270,Tomelilla,L+M+KD,Minoritet,M,,
1272,Bromölla,V+S,Minoritet,S,,
1273,Osby,C,Minoritet,C,,
1275,Perstorps,S+C+M+KD+ÖP,Majoritet,S,Perstorps Framtid,
1276,Klippans,KD+ÖP,Minoritet,M,Vår Framtid Klippan (VF),
1277,Åstorps,M+KD+SD,Majoritet,SD,,
1278,Båstads,S+L+M+KD,Majoritet,M,,
1280,Malmö,S+MP+L,Minoritet,S,,
1281,Lunds,S+M+KD,Minoritet,S,,
1282,Landskrona,MP+L+M,Majoritet,L,,
1283,Helsingborgs,L+M+KD,Minoritet,M,,
1284,Höganäs,MP+C+M+KD,Majoritet,M,,
1285,Eslövs,S+L+M,Majoritet,S,,
1286,Ystads,L+M+KD,Minoritet,M,,
1287,Trelleborgs,L+M+KD+SD,Majoritet,SD,,
1290,Kristianstads,M+KD+SD,Majoritet,M,,
1291,Simrishamns,L+M+KD,Minoritet,M,,
1292,Ängelholms,C+L+M+KD,Minoritet,M,,
1293,Hässleholms,S+M,Minoritet,S,,
1315,Hylte,V+S+L+ÖP,Minoritet,S,Kommunens väl,
1380,Halmstads,S+M+KD,Majoritet,S,,
1381,Laholms,S+C+L+M+KD,Majoritet,C,,
1382,Falkenbergs,V+S+MP+L+KD,Minoritet,S,,
1383,Varbergs,L+M+KD+SD,Minoritet,M,,
1384,Kungsbacka,C+L+M+KD,Majoritet,M,,
1401,Härryda,C+L+M+KD+ÖP,Minoritet,M,Även KommunPartiet och SportPartiet i Härryda kommun är med i denna koalition,
1402,Partille,L+M+KD,Minoritet,M,,
1407,Öckerö,L+M+KD,Majoritet,KD,,
1415,Stenungsunds,S+M,Majoritet,S,,
1419,Tjörns,C+L+M+SD+ÖP,Majoritet,L,Tjörnpartiet,
1421,Orust,S+L+M,Majoritet,S,,
1427,Sotenäs,S,Minoritet,S,,
1430,Munkedals,M+KD+SD,Majoritet,SD,,
1435,Tanums,C+M+KD,Majoritet,M,,
1438,Dals-Eds,C+L+M+KD,Majoritet,M,,
1439,Färgelanda,KD+SD,Minoritet,SD,,
1440,Ale,M+KD+SD+ÖP,Minoritet,M,"FiA, Framtid i Ale",
1441,Lerums,S+M,Majoritet,M,,
1442,Vårgårda,C+L+M+KD,Majoritet,C,,
1443,Bollebygds,V+S+MP+M,Majoritet,S,,
1444,Grästorps,C+M,Majoritet,M,,
1445,Essunga,MP+C+M+KD,Majoritet,M,,
1446,Karlsborgs,C+L+M+KD,Majoritet,M,,
1447,Gullspångs,V+M+KD+ÖP,Minoritet,M,Feministiskt Initiativ,
1452,Tranemo,S+C+L,Majoritet,S,,
1460,Bengtsfors,C+M+KD,Minoritet,M,,
1461,Melleruds,M+KD+ÖP,Minoritet,M,Kommunpartiet i Mellerud KIM,
1462,Lilla Edets,V+S+C+M,Majoritet,C,,
1463,Marks,S+C,Minoritet,S,,
1465,Svenljunga,M+KD+ÖP,Minoritet,M,Landsbygdspartiet oberoende,
1466,Herrljunga,V+S+C+L,Majoritet,S,,
1470,Vara,L+M+KD+SD,Majoritet,M,,
1471,Götene,MP+C+L+M+KD+ÖP,Minoritet,ÖP,Götenes framtid,Götenes framtid
1472,Tibro,S+C+L,Minoritet,S,,
1473,Töreboda,L+M,Minoritet,M,,
1480,Göteborgs,V+S+MP,Minoritet,S,,
1481,Mölndals,S+M,Majoritet,S,,
1482,Kungälvs,S+M,Minoritet,S,,
1484,Lysekils,V+S+MP,Minoritet,S,,
1485,Uddevalla,M+KD+SD+ÖP,Majoritet,SD,Uddevalla Partiet,
1486,Strömstads,V+S+M+KD,Majoritet,S,,
1487,Vänersborgs,S+MP+C+KD,Minoritet,S,,
1488,Trollhättans,C+M+KD,Minoritet,M,,
1489,Alingsås,L+M+KD,Minoritet,M,,
1490,Borås,S+MP+C+L,Minoritet,S,,
1491,Ulricehamns,C+L+M+KD,Minoritet,M,,
1492,Åmåls,C+L+M+KD,Minoritet,M,,
1493,Mariestads,M+KD+SD,Majoritet,M,,
1494,Lidköpings,V+S+MP+C,Majoritet,S,,
1495,Skara,S+MP+C+L,Minoritet,C,,
1496,Skövde,S+M+KD,Majoritet,M,,
1497,Hjo,C+L+M+KD,Majoritet,M,,
1498,Tidaholms,L+M+KD+SD+ÖP,Majoritet,L,Vi Tidaholm,
1499,Falköpings,V+MP+C+L+M+KD,Minoritet,M,,
1715,Kils,S+MP+C,Majoritet,S,,
1730,Eda,V+C+L+M+KD+ÖP,Majoritet,M,HEL,
1737,Torsby,S,Minoritet,S,,
1760,Storfors,C+M+KD+SD,Majoritet,M,,
1761,Hammarö,V+S+MP+C,Majoritet,S,,
1762,Munkfors,S,Majoritet,S,,
1763,Forshaga,S+C,Majoritet,S,,
1764,Grums,V+S,Majoritet,S,,
1765,Årjängs,S+C+M,Majoritet,S,,
1766,Sunne,L+M+ÖP,Minoritet,M,Hela Sunne,
1780,Karlstads,S+MP+C,Minoritet,S,,
1781,Kristinehamns,V+S+MP+C,Majoritet,S,,
1782,Filipstads,C+L+M+SD,Majoritet,M,,
1783,Hagfors,ÖP,Minoritet,ÖP,Oberoende realister,Oberoende realister
1784,Arvika,V+S+MP+C,Majoritet,S,,
1785,Säffle,MP+C+L+M,Minoritet,C,,
1814,Lekebergs,V+M+KD+ÖP,Minoritet,M,Framtidspartiet i Lekeberg,
1860,Laxå,V+C+KD,Majoritet,C,,
