institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Sifo,2022-09-11,1200,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Novus,2022-09-11,1800,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Demoskop / Inizio,2022-09-11,1200,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Demoskop,2022-09-11,1600,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
SCB,2022-09-11,9000,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Skop,2022-09-11,1200,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Sentio,2022-09-11,1000,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Ipsos,2022-09-11,1500,True,6.75,30.33,5.08,6.71,4.61,19.1,5.34,20.54
Demoskop / Inizio,2022-09-10,1200,True,6.9,29.5,5.3,7.9,4.9,18.7,5.3,20.5
Skop,2022-09-09,1200,True,8.0,28.6,7.4,7.6,6.0,16.3,6.0,19.3
Sifo,2022-09-09,1200,True,7.9,29.0,6.4,6.6,6.0,16.2,6.1,20.7
Novus,2022-09-09,1800,True,7.8,30.3,4.5,7.1,5.2,17.1,5.9,21.2
Ipsos,2022-09-09,1500,True,7.4,28.8,5.8,8.0,4.2,18.2,4.8,21.0
Sifo,2022-09-08,1200,True,7.4,29.5,6.2,7.0,5.8,17.1,6.1,20.2
Skop,2022-09-08,1200,True,8.0,28.0,7.9,7.2,6.3,15.2,7.2,19.4
Novus,2022-09-08,1800,True,7.4,29.0,5.2,7.5,5.1,18.0,5.8,21.0
Sifo,2022-09-07,1200,True,7.0,30.1,5.8,7.1,5.0,17.0,6.2,21.0
Novus,2022-09-07,1800,True,8.0,27.8,5.7,8.6,4.8,17.3,5.9,20.6
Skop,2022-09-07,1200,True,8.6,26.4,7.9,6.5,6.8,16.2,6.9,19.8
Sifo,2022-09-06,1200,True,6.9,30.0,5.7,7.7,4.7,18.6,5.5,20.0
Skop,2022-09-06,1200,True,7.7,27.9,7.5,7.0,5.4,17.7,6.3,19.7
Novus,2022-09-06,1800,True,7.5,28.7,5.5,8.8,4.4,17.9,6.1,19.9
Ipsos,2022-09-06,1500,True,8.4,28.4,5.3,7.6,4.2,18.2,6.2,20.4
Demoskop / Inizio,2022-09-05,1200,True,8.3,29.2,4.3,8.1,5.3,18.3,5.3,20.5
Skop,2022-09-05,1200,True,7.7,27.7,8.1,7.4,5.5,18.6,6.0,18.1
Skop,2022-09-04,1200,True,7.2,30.0,7.8,7.5,4.8,17.6,5.9,18.8
Sifo,2022-09-03,1200,True,7.4,28.5,4.8,7.8,5.8,17.3,6.6,20.1
Novus,2022-09-03,1800,True,8.5,28.7,4.9,7.0,4.4,17.6,7.1,21.0
Sifo,2022-08-31,1200,True,8.2,31.1,4.7,6.4,6.8,15.9,5.7,19.7
Novus,2022-08-31,1800,True,7.8,28.1,5.9,7.3,5.6,18.3,6.6,19.5
Ipsos,2022-08-31,1500,True,8.7,28.3,5.7,6.1,4.8,16.8,6.1,22.2
Skop,2022-08-31,1200,True,8.1,28.7,5.8,8.3,6.7,16.0,6.1,18.8
Demoskop / Inizio,2022-08-29,1200,True,7.8,29.6,5.3,7.5,4.6,18.0,5.4,20.6
Sentio,2022-08-29,1000,True,9.6,24.1,4.4,5.8,4.0,18.7,6.9,24.4
Novus,2022-08-28,1800,True,8.6,30.2,4.4,7.4,4.5,16.2,5.9,21.1
Sifo,2022-08-27,1200,True,6.8,31.8,5.3,5.7,5.4,17.9,5.9,19.4
Skop,2022-08-27,1200,True,8.6,28.5,5.2,7.7,6.3,18.4,6.3,18.3
Ipsos,2022-08-26,1500,True,8.5,30.4,5.0,6.9,4.6,16.6,5.5,20.7
Novus,2022-08-25,1800,True,8.5,27.5,4.7,6.5,6.0,17.9,5.5,22.4
Sifo,2022-08-24,1200,True,7.9,30.2,4.7,6.0,4.8,18.6,6.3,19.2
Skop,2022-08-22,1200,True,8.5,27.8,5.9,8.6,6.3,17.5,4.9,19.3
Demoskop / Inizio,2022-08-22,1200,True,8.9,28.9,4.8,6.8,4.2,19.9,6.4,18.7
Novus,2022-08-22,1800,True,9.6,27.8,5.5,6.7,4.4,17.4,6.0,21.5
Sifo,2022-08-21,1200,True,8.0,32.5,5.5,6.1,5.5,17.3,5.8,16.8
Sentio,2022-08-18,1000,True,9.2,28.0,4.7,4.6,4.4,21.3,6.6,18.7
Novus,2022-08-18,1800,True,9.7,28.5,4.5,6.0,5.8,19.6,5.6,18.8
Sifo,2022-08-18,1200,True,8.0,31.2,5.5,6.0,5.9,18.2,5.6,17.1
Demoskop / Inizio,2022-08-17,1200,True,7.4,29.6,5.2,7.5,4.9,19.9,5.8,18.8
Sifo,2022-08-15,1200,True,8.0,29.9,5.6,5.7,5.5,19.2,6.5,16.9
Sifo,2022-08-12,1200,True,7.6,31.2,4.6,5.3,5.7,20.7,6.1,16.5
Novus,2022-08-11,1800,True,7.2,30.6,5.2,6.8,5.1,18.6,6.3,18.6
Demoskop / Inizio,2022-08-04,1200,True,7.7,28.7,4.8,7.2,5.7,20.3,6.9,17.7
Novus,2022-07-15,1800,True,8.8,31.7,3.5,5.4,5.0,19.6,6.7,17.4
Demoskop / Inizio,2022-07-15,1200,True,8.4,30.3,4.9,7.1,4.7,21.0,6.1,16.3
Skop,2022-07-15,1200,True,10.3,31.5,3.6,6.2,6.1,18.5,5.7,16.6
Ipsos,2022-06-15,1500,True,9.4,30.7,2.9,5.3,5.1,19.6,5.9,19.3
Sentio,2022-06-15,1000,True,9.0,28.2,3.1,6.4,3.9,20.9,5.5,21.1
Demoskop / Inizio,2022-06-15,1200,True,7.6,30.9,3.9,7.7,4.2,22.1,5.7,16.9
Novus,2022-06-15,1800,True,9.4,30.2,3.3,5.9,3.5,21.5,6.3,18.0
Sifo,2022-06-15,1200,True,7.9,33.7,3.4,6.0,4.4,19.3,6.3,17.4
Sentio,2022-05-15,1000,True,7.8,29.2,4.1,5.3,2.6,20.4,8.5,19.4
Ipsos,2022-05-15,1500,True,9.0,32.0,3.0,5.0,3.0,22.0,5.0,18.0
Sifo,2022-05-15,1200,True,8.2,32.6,2.7,6.3,3.6,20.8,5.6,18.1
SCB,2022-05-15,9000,True,7.8,33.3,3.3,6.7,3.4,21.3,5.2,17.0
Novus,2022-05-15,1800,True,9.0,31.8,3.3,6.9,2.5,21.0,5.9,17.9
Demoskop / Inizio,2022-05-15,1200,True,7.3,31.3,3.0,7.9,2.9,22.9,6.4,16.9
Sentio,2022-04-15,1000,True,8.9,28.3,3.1,5.1,2.9,22.3,5.5,21.1
Skop,2022-04-15,1200,True,9.2,34.7,2.9,7.4,2.9,20.2,5.8,15.6
Novus,2022-04-15,1800,True,8.3,32.0,3.3,6.8,2.1,21.5,5.7,18.7
Demoskop / Inizio,2022-04-15,1200,True,8.1,31.5,3.5,8.0,2.4,22.9,5.4,17.0
Ipsos,2022-04-15,1500,True,9.0,30.0,4.0,6.0,3.0,22.0,6.0,18.0
Sifo,2022-04-15,1200,True,8.7,33.0,2.9,7.1,2.4,21.2,4.9,18.2
Novus,2022-03-15,1800,True,8.9,32.0,3.2,6.8,2.1,21.2,5.1,19.4
Demoskop / Inizio,2022-03-15,1200,True,7.4,32.4,2.9,7.5,2.2,22.0,6.5,17.5
Sentio,2022-03-15,1000,True,9.1,30.4,3.6,4.3,3.1,20.6,5.3,20.8
Sifo,2022-03-15,1200,True,8.6,32.8,2.7,7.0,2.4,21.4,4.9,18.6
Ipsos,2022-03-15,1500,True,8.0,33.0,3.0,7.0,2.0,22.0,6.0,19.0
Sentio,2022-02-15,1000,True,9.5,29.2,2.8,5.8,2.5,21.4,7.1,19.4
Ipsos,2022-02-15,1500,True,10.0,29.0,3.0,7.0,3.0,21.0,5.0,20.0
Demoskop / Inizio,2022-02-15,1200,True,10.0,28.2,2.8,7.9,3.2,22.0,5.6,19.2
Sifo,2022-02-15,1200,True,10.1,29.6,3.6,6.9,2.7,20.9,5.3,19.3
Skop,2022-02-15,1200,True,11.8,31.4,3.1,7.3,2.7,19.1,4.2,19.0
Novus,2022-02-15,1800,True,9.8,29.3,3.5,7.4,2.7,20.5,5.4,19.8
Ipsos,2022-01-15,1500,True,10.0,31.0,3.0,6.0,4.0,21.0,6.0,18.0
Sifo,2022-01-15,1200,True,9.6,31.1,3.0,7.0,2.9,20.9,4.4,19.2
Sentio,2022-01-15,1000,True,8.7,29.4,3.6,6.8,2.9,21.1,5.5,20.2
Novus,2022-01-15,1800,True,10.5,31.3,3.4,6.7,2.2,18.7,5.6,20.1
Demoskop / Inizio,2022-01-15,1200,True,9.3,29.2,2.8,8.3,3.2,21.8,5.4,17.8
Sentio,2021-12-15,1000,True,8.5,28.2,4.3,6.8,2.9,20.9,5.9,20.0
Ipsos,2021-12-15,1500,True,10.0,29.0,4.0,7.0,3.0,20.0,5.0,20.0
Sifo,2021-12-15,1200,True,9.7,31.1,3.2,7.0,2.8,20.0,5.1,19.7
Demoskop / Inizio,2021-12-15,1200,True,8.2,29.1,3.3,8.5,2.0,22.6,6.0,18.7
Novus,2021-12-15,1800,True,10.1,29.3,3.7,7.5,2.9,21.2,4.7,19.0
Ipsos,2021-11-15,1500,True,11.0,25.0,4.0,8.0,3.0,21.0,6.0,20.0
Sentio,2021-11-15,1000,True,11.7,25.5,3.7,6.9,3.3,19.9,5.4,20.6
Sifo,2021-11-15,1200,True,9.4,28.9,3.6,8.1,2.3,21.0,4.6,20.3
Demoskop / Inizio,2021-11-15,1200,True,8.1,27.0,3.4,9.7,3.2,23.6,5.3,18.7
Novus,2021-11-15,1800,True,11.3,25.6,4.8,8.5,2.8,22.9,4.1,19.1
SCB,2021-11-15,9000,True,9.2,29.1,3.9,8.4,2.5,22.7,4.6,18.6
Ipsos,2021-10-15,1500,True,11.0,26.0,5.0,8.0,4.0,20.0,4.0,20.0
Demoskop / Inizio,2021-10-15,1200,True,8.6,26.7,3.0,9.5,2.7,22.2,5.5,20.9
Novus,2021-10-15,1800,True,10.6,26.0,4.0,8.8,2.6,22.6,4.6,19.4
Skop,2021-10-15,1200,True,11.5,24.3,4.4,9.5,3.1,22.1,3.7,19.9
Sentio,2021-10-15,1000,True,11.5,21.1,3.5,5.3,2.2,22.7,6.0,23.9
Sifo,2021-10-15,1200,True,10.5,26.6,3.7,8.0,2.8,21.9,5.0,19.9
Skop,2021-09-15,1200,True,12.5,25.8,3.4,9.6,2.4,21.6,5.0,18.5
Demoskop / Inizio,2021-09-15,1200,True,8.2,26.7,3.5,9.7,2.5,22.1,5.6,20.7
Ipsos,2021-09-15,1500,True,11.0,25.0,4.0,8.0,3.0,22.0,4.0,21.0
Novus,2021-09-15,1800,True,11.2,25.9,4.4,8.9,2.1,22.0,4.5,19.6
Sifo,2021-09-15,1200,True,10.6,26.1,4.2,8.9,3.0,21.5,4.7,19.6
Sentio,2021-09-15,1000,True,10.4,24.4,3.9,5.3,3.0,22.7,5.9,21.7
Ipsos,2021-08-15,1500,True,11.0,25.0,5.0,8.0,3.0,21.0,4.0,20.0
Sifo,2021-08-15,1200,True,11.9,24.1,4.2,8.6,2.7,21.8,4.9,20.5
Sentio,2021-08-15,1000,True,10.6,23.1,4.0,5.8,1.9,21.0,7.8,23.3
Demoskop / Inizio,2021-08-15,1200,True,10.2,24.6,3.5,10.1,2.3,23.2,5.4,19.9
Demoskop / Inizio,2021-07-15,1200,True,9.4,25.2,3.5,10.4,3.5,21.7,6.1,19.3
Skop,2021-07-15,1200,True,12.0,27.2,3.7,8.7,2.9,21.8,3.5,19.5
Novus,2021-07-15,1800,True,13.3,23.8,3.8,8.9,2.2,21.0,4.5,21.6
Sentio,2021-07-15,1000,True,10.3,23.8,4.3,6.3,4.3,21.0,6.1,21.9
Sentio,2021-07-02,1000,True,10.8,23.6,5.0,6.8,4.1,18.9,5.1,23.9
Demoskop / Inizio,2021-06-29,1200,True,11.3,23.4,3.3,10.6,3.4,22.1,6.8,18.2
Novus,2021-06-29,1800,True,11.2,25.5,3.5,7.9,2.5,21.8,5.0,21.4
Sentio,2021-06-15,1000,True,10.2,25.2,3.3,7.9,2.8,21.2,6.8,19.4
Ipsos,2021-06-15,1500,True,12.0,24.0,3.0,10.0,2.0,22.0,6.0,19.0
Sifo,2021-06-15,1200,True,9.6,25.8,3.5,9.9,2.3,22.4,5.1,20.2
Novus,2021-06-11,1800,True,9.6,26.1,4.2,9.4,2.3,22.6,5.3,19.2
Demoskop / Inizio,2021-06-06,1200,True,8.5,24.2,3.5,10.7,3.6,22.9,5.6,19.2
Demoskop / Inizio,2021-05-15,1200,True,6.9,25.4,4.1,11.8,3.2,23.1,5.2,19.0
Sifo,2021-05-15,1200,True,9.6,26.9,4.0,9.3,2.9,21.7,5.2,18.8
SCB,2021-05-15,9000,True,8.9,28.2,3.8,9.5,2.5,22.4,4.5,18.9
Sentio,2021-05-15,1000,True,10.3,25.5,5.0,7.0,3.3,19.3,5.2,21.0
Ipsos,2021-05-15,1500,True,10.0,26.0,4.0,9.0,3.0,22.0,5.0,20.0
Novus,2021-05-15,1800,True,9.5,27.5,4.0,8.7,2.9,22.9,5.3,18.1
Ipsos,2021-04-15,1500,True,10.0,26.0,4.0,9.0,3.0,22.0,5.0,19.0
Sifo,2021-04-15,1200,True,9.4,27.8,4.3,8.9,3.1,21.3,4.8,18.9
Novus,2021-04-15,1800,True,9.5,27.6,4.5,8.4,2.9,22.6,4.2,18.7
Sentio,2021-04-15,1000,True,10.2,25.4,4.6,6.7,2.5,21.2,5.6,21.4
Demoskop / Inizio,2021-04-15,1200,True,8.4,25.4,3.3,9.8,3.7,22.8,5.2,19.2
Sifo,2021-03-15,1200,True,9.7,27.2,4.2,8.8,2.9,22.9,4.4,18.4
Ipsos,2021-03-15,1500,True,11.0,27.0,4.0,9.0,3.0,22.0,4.0,20.0
Sentio,2021-03-15,1000,True,8.9,26.5,5.0,6.0,3.1,20.1,5.9,22.2
Demoskop / Inizio,2021-03-15,1200,True,9.3,24.2,3.1,9.9,2.7,24.5,5.8,18.2
Novus,2021-03-15,1800,True,9.5,27.0,4.4,8.3,3.3,24.0,4.1,17.9
Skop,2021-02-15,1200,True,10.2,27.4,4.0,10.0,2.4,24.5,4.6,15.5
Sifo,2021-02-15,1200,True,10.0,27.6,3.6,8.1,2.8,23.5,4.3,18.8
Demoskop / Inizio,2021-02-15,1200,True,9.4,24.7,3.5,9.6,3.1,23.2,6.5,18.3
Ipsos,2021-02-15,1500,True,9.0,27.0,4.0,9.0,3.0,23.0,5.0,19.0
Novus,2021-02-15,1800,True,10.8,26.9,4.1,8.5,2.7,23.1,4.7,18.1
Sentio,2021-02-15,1000,True,10.1,25.4,3.3,7.3,3.1,21.7,6.0,20.7
Demoskop / Inizio,2021-01-15,1200,True,9.9,23.0,5.0,9.2,2.3,23.2,5.9,19.5
Sifo,2021-01-15,1200,True,10.0,27.6,3.7,8.1,3.2,22.4,4.9,18.6
Novus,2021-01-15,1800,True,9.5,28.5,4.0,8.3,2.6,21.8,4.6,19.4
Sentio,2021-01-15,1000,True,10.7,26.3,3.6,5.8,2.2,20.7,5.2,23.3
Ipsos,2021-01-15,1500,True,10.0,27.0,4.0,8.0,3.0,22.0,5.0,19.0
Ipsos,2020-12-15,1500,True,11.0,26.0,5.0,7.0,3.0,23.0,5.0,20.0
Sentio,2020-12-15,1000,True,11.3,24.1,3.2,6.0,2.6,22.1,4.8,23.2
Demoskop / Inizio,2020-12-15,1200,True,9.3,25.0,3.6,9.4,2.8,23.2,5.7,19.6
Skop,2020-12-15,1200,True,11.2,26.1,4.0,8.5,2.7,21.8,6.5,18.2
Novus,2020-12-15,1800,True,9.7,28.0,4.1,8.2,2.7,21.7,5.4,18.5
Sifo,2020-12-15,1200,True,10.3,27.8,3.7,7.7,3.0,21.7,5.3,18.9
Sifo,2020-11-15,1200,True,10.2,27.0,4.2,7.6,3.2,20.8,5.7,19.9
Demoskop / Inizio,2020-11-15,1200,True,9.4,24.0,3.4,9.2,3.1,22.4,6.9,19.9
SCB,2020-11-15,9000,True,9.3,29.4,4.2,7.6,3.0,22.1,5.4,17.6
Sentio,2020-11-15,1000,True,9.9,23.3,3.3,5.8,3.3,19.8,5.9,25.2
Ipsos,2020-11-15,1500,True,11.0,26.0,4.0,9.0,3.0,21.0,5.0,20.0
Novus,2020-11-15,1800,True,10.6,26.4,3.9,8.6,2.7,22.0,5.0,19.4
Demoskop / Inizio,2020-10-15,1200,True,9.2,25.0,3.5,9.4,3.4,21.1,6.7,19.9
Novus,2020-10-15,1800,True,9.6,26.5,5.2,8.4,3.4,20.7,5.7,19.2
Sifo,2020-10-15,1200,True,10.0,26.4,4.3,7.7,3.2,20.6,5.9,20.2
Ipsos,2020-10-15,1500,True,11.0,25.0,5.0,9.0,3.0,21.0,6.0,20.0
Sentio,2020-10-15,1000,True,9.7,24.8,4.6,6.5,2.8,18.8,5.9,24.1
Skop,2020-10-15,1200,True,12.1,26.0,3.1,9.1,3.3,21.1,5.9,17.8
Demoskop / Inizio,2020-09-15,1200,True,7.5,26.1,3.2,9.2,3.1,22.2,5.3,21.6
Sifo,2020-09-15,1200,True,8.9,27.5,3.8,8.2,3.5,20.6,6.2,19.8
Novus,2020-09-15,1800,True,9.4,27.0,4.3,7.8,3.2,21.2,5.7,19.6
Ipsos,2020-09-15,1500,True,9.0,26.0,4.0,8.0,4.0,20.0,7.0,20.0
Sentio,2020-09-15,1000,True,8.6,25.1,3.9,7.5,3.0,19.7,7.1,22.4
Ipsos,2020-08-15,1500,True,10.0,27.0,4.0,7.0,3.0,20.0,6.0,21.0
Demoskop / Inizio,2020-08-15,1200,True,6.8,27.3,3.4,8.8,3.3,21.6,5.6,20.5
Sentio,2020-08-15,1000,True,10.0,26.7,5.0,5.1,2.8,20.3,5.4,22.4
Novus,2020-08-15,1800,True,9.3,28.3,3.8,7.6,2.9,21.2,5.8,19.4
Sifo,2020-08-15,1200,True,9.2,27.8,3.6,7.8,4.2,20.3,6.4,19.7
Sentio,2020-07-15,1000,True,8.5,25.5,5.1,5.8,2.5,20.3,5.7,24.1
Skop,2020-07-15,1200,True,10.4,28.2,3.4,8.0,3.7,21.1,5.9,17.9
Demoskop / Inizio,2020-07-15,1200,True,7.8,28.5,4.1,8.4,3.2,20.8,5.7,19.7
