valkrets,fasta_2022,fasta_2026
Stockholms kommun,29,29
Stockholms län,40,41
Uppsala län,12,12
Södermanlands län,9,9
Östergötlands län,14,14
Jönköpings län,11,11
Kronobergs län,6,6
Kalmar län,8,7
Gotlands län,2,2
Blekinge län,5,5
Malmö kommun,10,10
Skåne läns västra,9,9
Skåne läns södra,12,12
Skåne läns norra och östra,10,10
Hallands län,10,10
Göteborgs kommun,17,18
Västra Götalands läns västra,11,11
Västra Götalands läns norra,8,8
Västra Götalands läns södra,7,7
Västra Götalands läns östra,8,8
Värmlands län,9,9
Örebro län,9,9
Västmanlands län,8,8
Dalarnas län,9,9
Gävleborgs län,9,9
Västernorrlands län,8,7
Jämtlands län,4,4
Västerbottens län,8,8
Norrbottens län,8,8
