omrade_kod,omrade_namn,parti,procent,mandat
0114,Upplands Väsby,V,8.9,6
0114,Upplands Väsby,S,27.3,17
0114,Upplands Väsby,MP,4.6,3
0114,Upplands Väsby,C,5.2,3
0114,Upplands Väsby,L,2.7,2
0114,Upplands Väsby,M,21.6,13
0114,Upplands Väsby,KD,3.8,2
0114,Upplands Väsby,SD,13.6,8
0115,Vallentuna,V,3.8,2
0115,Vallentuna,S,20.1,10
0115,Vallentuna,MP,6.7,3
0115,Vallentuna,C,9.6,5
0115,Vallentuna,L,4.8,3
0115,Vallentuna,M,33.9,18
0115,Vallentuna,KD,5.5,3
0115,Vallentuna,SD,13.8,7
0117,Österåker,V,3.9,2
0117,Österåker,S,19.3,12
0117,Österåker,MP,4.5,3
0117,Österåker,C,5.5,3
0117,Österåker,L,4.0,3
0117,Österåker,M,42.0,26
0117,Österåker,KD,4.3,3
0117,Österåker,SD,8.7,5
0120,Värmdö,V,4.3,2
0120,Värmdö,S,25.5,13
0120,Värmdö,MP,6.4,3
0120,Värmdö,C,6.4,3
0120,Värmdö,L,3.1,2
0120,Värmdö,M,34.8,18
0120,Värmdö,KD,3.9,2
0120,Värmdö,SD,10.8,6
0123,Järfälla,V,12.9,8
0123,Järfälla,S,30.8,19
0123,Järfälla,MP,5.0,3
0123,Järfälla,C,4.4,3
0123,Järfälla,L,5.9,4
0123,Järfälla,M,18.8,12
0123,Järfälla,KD,3.9,2
0123,Järfälla,SD,10.3,6
0125,Ekerö,V,2.9,1
0125,Ekerö,S,19.6,8
0125,Ekerö,MP,6.4,3
0125,Ekerö,C,8.3,4
0125,Ekerö,L,5.0,2
0125,Ekerö,M,28.4,12
0125,Ekerö,KD,6.4,3
0125,Ekerö,SD,12.8,5
0126,Huddinge,V,11.3,7
0126,Huddinge,S,27.3,17
0126,Huddinge,MP,6.2,4
0126,Huddinge,C,6.1,4
0126,Huddinge,L,5.5,3
0126,Huddinge,M,20.6,13
0126,Huddinge,KD,3.7,2
0126,Huddinge,SD,11.5,7
0127,Botkyrka,V,13.6,11
0127,Botkyrka,S,28.6,22
0127,Botkyrka,MP,4.7,4
0127,Botkyrka,C,2.7,2
0127,Botkyrka,L,1.3,0
0127,Botkyrka,M,12.8,10
0127,Botkyrka,KD,4.4,3
0127,Botkyrka,SD,12.1,9
0128,Salem,V,5.8,2
0128,Salem,S,22.5,7
0128,Salem,MP,3.4,1
0128,Salem,C,9.6,3
0128,Salem,L,2.6,1
0128,Salem,M,32.2,10
0128,Salem,KD,4.3,1
0128,Salem,SD,10.8,4
0136,Haninge,V,9.7,6
0136,Haninge,S,30.9,19
0136,Haninge,MP,4.0,2
0136,Haninge,C,5.9,4
0136,Haninge,L,4.5,3
0136,Haninge,M,21.2,13
0136,Haninge,KD,5.7,3
0136,Haninge,SD,17.3,11
0138,Tyresö,V,5.6,3
0138,Tyresö,S,29.4,18
0138,Tyresö,MP,6.8,4
0138,Tyresö,C,4.7,3
0138,Tyresö,L,4.5,3
0138,Tyresö,M,30.9,19
0138,Tyresö,KD,3.7,2
0138,Tyresö,SD,13.8,9
0139,Upplands-Bro,V,10.6,5
0139,Upplands-Bro,S,33.1,17
0139,Upplands-Bro,MP,3.6,2
0139,Upplands-Bro,C,4.9,3
0139,Upplands-Bro,L,4.4,2
0139,Upplands-Bro,M,21.4,11
0139,Upplands-Bro,KD,5.5,3
0139,Upplands-Bro,SD,15.8,8
0140,Nykvarn,V,2.5,1
0140,Nykvarn,S,17.7,5
0140,Nykvarn,MP,3.2,1
0140,Nykvarn,C,4.0,1
0140,Nykvarn,L,4.8,1
0140,Nykvarn,M,28.0,9
0140,Nykvarn,KD,4.9,2
0140,Nykvarn,SD,21.0,7
0160,Täby,V,2.3,0
0160,Täby,S,16.1,10
0160,Täby,MP,5.2,3
0160,Täby,C,8.9,6
0160,Täby,L,8.0,5
0160,Täby,M,46.7,29
0160,Täby,KD,4.3,3
0160,Täby,SD,7.5,5
0162,Danderyd,V,1.3,0
0162,Danderyd,S,10.8,6
0162,Danderyd,MP,4.2,2
0162,Danderyd,C,22.8,12
0162,Danderyd,L,8.2,4
0162,Danderyd,M,38.1,20
0162,Danderyd,KD,6.5,4
0162,Danderyd,SD,6.3,3
0163,Sollentuna,V,7.4,5
0163,Sollentuna,S,27.3,17
0163,Sollentuna,MP,5.7,3
0163,Sollentuna,C,7.8,5
0163,Sollentuna,L,5.9,4
0163,Sollentuna,M,31.7,19
0163,Sollentuna,KD,5.5,3
0163,Sollentuna,SD,7.9,5
0180,Stockholm,V,14.3,15
0180,Stockholm,S,26.3,27
0180,Stockholm,MP,11.2,11
0180,Stockholm,C,7.7,8
0180,Stockholm,L,5.1,5
0180,Stockholm,M,22.4,23
0180,Stockholm,KD,4.2,4
0180,Stockholm,SD,7.3,8
0181,Södertälje,V,9.2,6
0181,Södertälje,S,28.6,18
0181,Södertälje,MP,5.7,4
0181,Södertälje,C,4.6,3
0181,Södertälje,L,3.0,2
0181,Södertälje,M,18.0,12
0181,Södertälje,KD,9.1,6
0181,Södertälje,SD,16.9,11
0182,Nacka,V,6.3,4
0182,Nacka,S,18.8,11
0182,Nacka,MP,6.5,4
0182,Nacka,C,8.2,5
0182,Nacka,L,3.7,2
0182,Nacka,M,33.1,20
0182,Nacka,KD,4.2,3
0182,Nacka,SD,6.2,4
0183,Sundbyberg,V,13.1,8
0183,Sundbyberg,S,31.0,19
0183,Sundbyberg,MP,6.8,4
0183,Sundbyberg,C,6.9,4
0183,Sundbyberg,L,5.1,3
0183,Sundbyberg,M,22.4,14
0183,Sundbyberg,KD,4.5,3
0183,Sundbyberg,SD,8.8,6
0184,Solna,V,9.2,6
0184,Solna,S,31.7,19
0184,Solna,MP,6.9,4
0184,Solna,C,7.4,4
0184,Solna,L,4.8,3
0184,Solna,M,27.5,17
0184,Solna,KD,4.2,3
0184,Solna,SD,7.5,5
0186,Lidingö,V,3.7,2
0186,Lidingö,S,11.8,7
0186,Lidingö,MP,4.9,3
0186,Lidingö,C,12.5,8
0186,Lidingö,L,6.2,4
0186,Lidingö,M,36.8,22
0186,Lidingö,KD,4.5,3
0186,Lidingö,SD,4.5,3
0187,Vaxholm,V,5.1,2
0187,Vaxholm,S,11.1,3
0187,Vaxholm,MP,5.1,2
0187,Vaxholm,C,9.9,3
0187,Vaxholm,L,5.0,2
0187,Vaxholm,M,29.1,9
0187,Vaxholm,KD,3.3,1
0187,Vaxholm,SD,7.3,2
0188,Norrtälje,V,5.1,3
0188,Norrtälje,S,26.7,17
0188,Norrtälje,MP,4.8,3
0188,Norrtälje,C,7.7,5
0188,Norrtälje,L,5.5,3
0188,Norrtälje,M,20.9,13
0188,Norrtälje,KD,5.0,3
0188,Norrtälje,SD,22.8,14
0191,Sigtuna,V,11.1,7
0191,Sigtuna,S,30.1,19
0191,Sigtuna,MP,3.4,2
0191,Sigtuna,C,3.4,2
0191,Sigtuna,L,3.0,2
0191,Sigtuna,M,29.5,18
0191,Sigtuna,KD,4.7,3
0191,Sigtuna,SD,12.5,8
0192,Nynäshamn,V,5.6,2
0192,Nynäshamn,S,28.9,12
0192,Nynäshamn,MP,4.4,2
0192,Nynäshamn,C,3.9,2
0192,Nynäshamn,L,3.4,1
0192,Nynäshamn,M,21.6,9
0192,Nynäshamn,KD,4.7,2
0192,Nynäshamn,SD,18.0,7
0305,Håbo,V,4.2,2
0305,Håbo,S,17.8,7
