omrade_kod,omrade_namn,parti,procent,mandat
01,Stockholm,V,11.6,17
01,Stockholm,S,27.9,42
01,Stockholm,MP,7.3,11
01,Stockholm,C,7.0,11
01,Stockholm,L,4.1,6
01,Stockholm,M,24.1,36
01,Stockholm,KD,7.1,11
01,Stockholm,SD,10.1,15
03,Uppsala,V,10.9,12
03,Uppsala,S,28.1,30
03,Uppsala,MP,6.6,7
03,Uppsala,C,6.6,7
03,Uppsala,L,2.7,0
03,Uppsala,M,19.5,21
03,Uppsala,KD,9.7,10
03,Uppsala,SD,13.4,14
04,Södermanland,V,8.2,7
04,Södermanland,S,30.8,25
04,Södermanland,MP,3.7,3
04,Södermanland,C,4.8,4
04,Södermanland,L,2.5,0
04,Södermanland,M,20.7,17
04,Södermanland,KD,6.3,5
04,Södermanland,SD,16.5,13
05,Östergötland,V,8.3,8
05,Östergötland,S,30.0,31
05,Östergötland,MP,4.8,5
05,Östergötland,C,6.4,7
05,Östergötland,L,3.2,3
05,Östergötland,M,22.9,23
05,Östergötland,KD,7.7,8
05,Östergötland,SD,16.0,16
06,Jönköping,V,6.6,6
06,Jönköping,S,25.1,22
06,Jönköping,MP,2.7,0
06,Jönköping,C,6.3,5
06,Jönköping,L,2.3,0
06,Jönköping,M,18.8,16
06,Jönköping,KD,11.6,10
06,Jönköping,SD,15.7,14
07,Kronoberg,V,8.0,5
07,Kronoberg,S,26.5,17
07,Kronoberg,MP,3.2,2
07,Kronoberg,C,6.3,4
07,Kronoberg,L,2.6,0
07,Kronoberg,M,20.0,12
07,Kronoberg,KD,9.7,6
07,Kronoberg,SD,13.6,9
08,Kalmar,V,6.8,5
08,Kalmar,S,32.3,22
08,Kalmar,MP,3.1,2
08,Kalmar,C,7.6,5
08,Kalmar,L,1.9,0
08,Kalmar,M,18.5,13
08,Kalmar,KD,11.8,8
08,Kalmar,SD,17.2,12
10,Blekinge,V,6.2,4
10,Blekinge,S,35.1,21
10,Blekinge,MP,2.9,0
10,Blekinge,C,6.2,4
10,Blekinge,L,2.8,0
10,Blekinge,M,16.6,10
10,Blekinge,KD,8.6,5
10,Blekinge,SD,20.7,13
12,Skåne,V,9.8,15
12,Skåne,S,28.3,43
12,Skåne,MP,5.5,8
12,Skåne,C,4.7,7
12,Skåne,L,3.9,6
12,Skåne,M,23.7,36
12,Skåne,KD,5.6,8
12,Skåne,SD,17.6,26
13,Halland,V,6.1,4
13,Halland,S,27.3,19
13,Halland,MP,3.5,2
13,Halland,C,7.7,6
13,Halland,L,4.2,3
13,Halland,M,25.1,18
13,Halland,KD,9.2,7
13,Halland,SD,16.3,12
14,Västra Götaland,V,10.5,16
14,Västra Götaland,S,27.4,42
14,Västra Götaland,MP,5.6,9
14,Västra Götaland,C,7.0,11
14,Västra Götaland,L,3.3,5
14,Västra Götaland,M,20.5,32
14,Västra Götaland,KD,7.5,12
14,Västra Götaland,SD,14.3,22
17,Värmland,V,6.0,5
17,Värmland,S,34.2,29
17,Värmland,MP,3.4,3
17,Värmland,C,5.9,5
17,Värmland,L,2.4,0
17,Värmland,M,20.1,17
17,Värmland,KD,7.5,6
17,Värmland,SD,13.9,12
18,Örebro,V,8.7,6
18,Örebro,S,30.3,21
18,Örebro,MP,3.7,3
18,Örebro,C,5.2,4
18,Örebro,L,4.1,3
18,Örebro,M,17.6,13
18,Örebro,KD,5.8,4
18,Örebro,SD,8.9,6
19,Västmanland,V,9.2,7
19,Västmanland,S,32.5,26
19,Västmanland,MP,2.9,0
19,Västmanland,C,5.7,5
19,Västmanland,L,4.4,4
19,Västmanland,M,21.5,17
19,Västmanland,KD,6.4,5
19,Västmanland,SD,16.8,13
20,Dalarna,V,6.8,6
20,Dalarna,S,31.6,27
20,Dalarna,MP,3.3,3
20,Dalarna,C,7.6,6
20,Dalarna,L,1.8,0
20,Dalarna,M,20.6,17
20,Dalarna,KD,8.0,7
20,Dalarna,SD,14.7,13
21,Gävleborg,V,8.4,6
21,Gävleborg,S,30.7,24
21,Gävleborg,MP,3.4,3
21,Gävleborg,C,7.4,6
21,Gävleborg,L,2.6,0
21,Gävleborg,M,18.3,14
21,Gävleborg,KD,6.5,5
21,Gävleborg,SD,18.7,14
22,Västernorrland,V,6.4,5
22,Västernorrland,S,28.4,21
22,Västernorrland,MP,2.9,0
22,Västernorrland,C,6.4,5
22,Västernorrland,L,1.2,0
22,Västernorrland,M,14.6,11
22,Västernorrland,KD,7.9,6
22,Västernorrland,SD,11.5,8
23,Jämtland,V,6.6,4
23,Jämtland,S,32.5,18
23,Jämtland,MP,5.8,3
23,Jämtland,C,14.5,8
23,Jämtland,L,1.8,0
23,Jämtland,M,18.9,11
23,Jämtland,KD,7.3,4
23,Jämtland,SD,11.8,7
24,Västerbotten,V,11.0,8
24,Västerbotten,S,33.3,24
24,Västerbotten,MP,7.3,5
24,Västerbotten,C,7.8,6
24,Västerbotten,L,3.3,2
24,Västerbotten,M,19.4,14
24,Västerbotten,KD,7.9,6
24,Västerbotten,SD,8.3,6
25,Norrbotten,V,7.9,6
25,Norrbotten,S,36.1,27
25,Norrbotten,MP,3.3,2
25,Norrbotten,C,6.0,4
25,Norrbotten,L,1.6,0
25,Norrbotten,M,16.2,12
25,Norrbotten,KD,7.1,5
25,Norrbotten,SD,11.3,8
