institut,datum,urval,svarsfrekvens,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,kalla
Opinion,2026-08-13,1000,80.2,7.9,5.2,5.4,20.5,5.7,2.8,4.0,15.3,29.1,Wikipedia
Norstat,2026-08-11,1001,,7.9,4.3,3.9,22.5,5.2,3.9,4.2,14.7,30.6,Wikipedia
Respons Analyse,2026-08-07,1000,,8.1,4.4,4.4,22.5,5.8,3.4,3.7,16.2,29.6,Wikipedia
Verian,2026-08-05,988,,6.4,8.0,3.5,22.8,5.5,3.1,2.6,15.1,29.7,Wikipedia
Norfakta,2026-08-04,1004,80.0,6.4,5.6,3.8,25.2,4.3,4.0,3.4,15.8,28.9,Wikipedia
InFact,2026-08-04,1132,,7.8,3.4,4.3,24.5,5.0,2.7,4.5,13.4,32.0,Wikipedia
Opinion,2026-07-29,1001,80.0,8.8,4.7,4.0,21.7,4.9,3.5,3.1,14.8,31.2,Wikipedia
Norfakta,2026-07-07,1003,,8.1,5.2,4.1,22.4,5.5,3.8,4.2,15.7,28.4,Wikipedia
InFact,2026-06-30,1172,,6.5,5.1,5.3,21.6,4.6,5.1,4.0,14.3,31.5,Wikipedia
Verian,2026-06-27,987,,6.4,5.1,5.2,23.9,4.7,3.5,3.7,14.3,29.8,Wikipedia
Norstat,2026-06-16,1005,,7.4,5.2,4.1,22.4,5.7,4.3,2.9,13.8,30.2,Wikipedia
Opinion,2026-06-05,1000,79.7,8.0,4.0,4.7,19.6,5.8,3.1,3.3,16.8,31.9,Wikipedia
Respons Analyse,2026-06-05,1003,80.0,7.0,5.8,3.8,21.8,4.4,2.6,3.8,16.8,31.5,Wikipedia
Norfakta,2026-06-02,1000,,7.3,5.1,3.9,21.6,5.3,3.0,3.7,17.7,28.9,Wikipedia
InFact,2026-06-01,1145,,7.5,4.0,5.0,22.4,4.5,4.6,4.2,12.5,33.3,Wikipedia
Verian,2026-05-27,991,,7.3,5.2,3.2,22.5,5.5,2.3,4.0,18.1,30.0,Wikipedia
Opinion,2026-05-21,1001,,7.4,5.1,3.3,22.4,4.9,2.7,4.3,16.8,29.9,Wikipedia
Norstat,2026-05-14,1000,,7.1,4.7,4.4,21.1,5.2,2.7,3.8,16.1,31.4,Wikipedia
Respons Analyse,2026-05-08,1001,,6.4,5.6,3.9,22.7,5.8,3.9,4.2,18.3,27.1,Wikipedia
Opinion,2026-05-07,1000,80.0,6.3,4.7,5.0,22.1,5.0,3.0,3.2,15.9,31.0,Wikipedia
Norfakta,2026-05-06,1001,83.0,7.2,4.9,3.7,22.9,4.9,3.7,4.4,17.1,28.7,Wikipedia
Verian,2026-05-05,594,,6.8,4.1,3.2,24.8,5.2,3.7,4.2,16.8,28.1,Wikipedia
InFact,2026-05-04,1124,,6.9,4.4,4.0,23.2,6.5,3.3,4.4,14.6,30.8,Wikipedia
Opinion,2026-04-22,1001,80.0,6.2,5.7,4.6,19.5,5.9,3.6,3.0,19.0,29.1,Wikipedia
Norstat,2026-04-15,1000,,7.3,5.1,3.8,21.0,5.3,4.2,3.7,17.7,29.2,Wikipedia
Respons Analyse,2026-04-10,1001,,7.0,4.7,3.9,23.4,5.8,4.2,3.6,18.0,26.5,Wikipedia
Opinion,2026-04-10,1000,,9.0,4.3,3.5,20.8,4.8,3.5,3.2,18.1,29.9,Wikipedia
Verian,2026-04-08,987,,6.0,6.1,4.7,23.3,5.4,3.7,3.5,16.6,28.6,Wikipedia
Norfakta,2026-04-07,1002,,7.5,5.7,3.2,21.9,5.2,3.9,3.5,18.3,27.6,Wikipedia
InFact,2026-03-30,1117,,7.4,4.4,3.7,20.4,5.4,3.7,3.7,17.8,30.9,Wikipedia
Opinion,2026-03-23,1000,80.0,6.9,5.6,4.1,21.3,4.6,4.1,4.4,17.7,27.2,Wikipedia
Norstat,2026-03-18,1000,,8.0,4.5,5.0,21.9,3.7,2.9,2.4,19.6,28.1,Wikipedia
Opinion,2026-03-12,1000,79.5,7.2,6.1,5.3,22.5,4.4,3.3,3.6,16.2,26.7,Wikipedia
Respons Analyse,2026-03-06,1000,,7.3,4.5,3.9,24.3,5.0,4.7,3.8,18.8,25.9,Wikipedia
Norfakta,2026-03-03,1000,82.0,6.4,4.5,4.1,22.3,4.9,4.0,4.6,17.4,28.8,Wikipedia
InFact,2026-03-02,1077,,9.1,4.5,4.0,22.3,4.3,2.7,3.5,16.8,30.2,Wikipedia
Opinion,2026-02-26,,79.0,8.7,3.7,3.8,23.1,5.8,2.4,3.4,19.2,25.5,Wikipedia
Verian,2026-02-25,984,,7.4,4.4,4.3,25.7,5.4,3.9,4.4,18.8,23.0,Wikipedia
Norstat,2026-02-18,1003,79.9,7.7,5.1,4.5,21.8,5.3,2.3,4.0,20.0,26.6,Wikipedia
Opinion,2026-02-12,1000,81.0,7.2,4.2,4.5,23.1,6.4,3.0,3.7,15.7,28.0,Wikipedia
Respons Analyse,2026-02-06,1002,,7.8,4.5,3.4,24.9,5.2,3.9,3.5,18.0,26.1,Wikipedia
Norfakta,2026-02-03,1001,,6.4,5.2,3.2,25.1,4.5,3.2,4.0,19.0,26.3,Wikipedia
InFact,2026-02-02,1121,,7.5,4.3,4.2,22.3,5.9,4.2,3.8,16.3,28.2,Wikipedia
Opinion,2026-01-28,1000,82.9,7.1,4.1,3.1,27.2,5.9,4.4,3.6,17.3,23.7,Wikipedia
Verian,2026-01-28,990,,6.9,4.5,3.6,27.2,5.7,3.4,3.4,16.5,25.1,Wikipedia
Norstat,2026-01-27,1000,,7.0,4.1,3.7,26.8,6.8,2.7,4.7,16.0,25.2,Wikipedia
Opinion,2026-01-15,1000,79.0,6.3,5.7,4.8,23.2,5.3,2.5,3.1,18.0,27.2,Wikipedia
Respons Analyse,2026-01-08,1001,83.8,6.4,5.5,4.0,25.2,4.8,3.2,3.5,17.4,27.9,Wikipedia
