niva,valtyp,omrade_kod,omrade_namn,valkretskod,valkretsnamn,prognos_parti,parti,partibeteckning,partiforkortning,prognosmandat_parti,listnummer,listnamn,listbeteckning,listval_metod,listval_varning,valkretsmetod,kandidatval_metod,historisk_valkrets_2022,hemvalkrets_2026,prioritetsskäl,deltagandegrund,listmandat,mandat_i_lista,ordning,kandidatnummer,namn,alder_pa_valdagen,kon,folkbokforingskommun,valsedelsuppgift,kalla
riksdag,RD,00,Riket,02,Stockholms län,V,V,Vänsterpartiet,V,3,10067,Vänsterpartiet - Stockholms kommun och Stockholms län,Stockholms kommun och Stockholms län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,historisk_valkrets_2022,02,Stockholms kommun,"Plats 1 på listan. Står på flera listor och företräder valkretsen i dag, så platsen räknas hit.","K,R",3,1,1,55575,Nooshi Dadgostar,41,K,Stockholm,"40, Hägersten, Partiordförande",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,01,Stockholms kommun,V,V,Vänsterpartiet,V,4,10067,Vänsterpartiet - Stockholms kommun och Stockholms län,Stockholms kommun och Stockholms län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,historisk_valkrets_2022,01,Stockholms län,"Plats 2 på listan. Står på flera listor och företräder valkretsen i dag, så platsen räknas hit.","K,R",4,2,2,53365,Ida Gabrielsson,44,K,Nacka,"44, Nacka, Riksdagsledamot",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,01,Stockholms kommun,V,V,Vänsterpartiet,V,4,10067,Vänsterpartiet - Stockholms kommun och Stockholms län,Stockholms kommun och Stockholms län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,historisk_valkrets_2022,01,Stockholms kommun,"Plats 3 på listan. Står på flera listor och företräder valkretsen i dag, så platsen räknas hit.","K,R",4,3,3,55576,Andreas Lennkvist Manriquez,32,M,Stockholm,"32, Södermalm, Riksdagsledamot",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,01,Stockholms kommun,V,V,Vänsterpartiet,V,4,10067,Vänsterpartiet - Stockholms kommun och Stockholms län,Stockholms kommun och Stockholms län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,hemvalkrets_2026,02,Stockholms kommun,"Plats 4 på listan. Står på flera listor och är folkbokförd i Stockholm, som ligger i valkretsen.","K,R",4,4,4,55577,Andrea Andersson Tay,37,K,Stockholm,"37, Bromma, Riksdagsledamot",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,03,Uppsala län,V,V,Vänsterpartiet,V,1,10401,Vänsterpartiet - Uppsala län,Uppsala län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,listordning,,Uppsala län,Plats 1 på partiets lista i valkretsen. Kandidaten står bara på den listan.,"K,R",1,1,1,55759,Tobias Smedberg,48,M,Uppsala,"Kommunalråd, 48, Valsätra",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,04,Södermanlands län,V,V,Vänsterpartiet,V,1,06884,Vänsterpartiet - Södermanlands län,Södermanlands län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,listordning,,Södermanlands län,Plats 1 på partiets lista i valkretsen. Kandidaten står bara på den listan.,"K,R",1,1,1,8390,Maria Forsberg,51,K,Eskilstuna,Eskilstuna 51 grundskollärare,https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,05,Östergötlands län,V,V,Vänsterpartiet,V,1,06523,Vänsterpartiet - Östergötlands län,Östergötlands län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,listordning,05,Östergötlands län,Plats 1 på partiets lista i valkretsen. Kandidaten står bara på den listan.,"K,R",1,1,1,2418,Malin Östh,54,K,Söderköping,"54 år, Riksdagsledamot, Söderköping",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,06,Jönköpings län,V,V,Vänsterpartiet,V,1,09005,Vänsterpartiet - Jönköpings län,Jönköpings län,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,listordning,06,Jönköpings län,Plats 1 på partiets lista i valkretsen. Kandidaten står bara på den listan.,"K,R",1,1,1,39217,Ciczie Weidby,52,K,Jönköping,"52 år, riksdagsledamot/butiksanställd, Jönköping",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,11,Malmö kommun,V,V,Vänsterpartiet,V,2,08254,Vänsterpartiet - Malmö kommun,Malmö kommun,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,listordning,,Malmö kommun,Plats 1 på partiets lista i valkretsen. Kandidaten står bara på den listan.,"K,R",2,1,1,31717,Banesa Martinez Roldán,44,K,Malmö,"44 år, Kommunikatör",https://data.val.se/filer/val2026/parti/kandidaturer.csv
riksdag,RD,00,Riket,11,Malmö kommun,V,V,Vänsterpartiet,V,2,08254,Vänsterpartiet - Malmö kommun,Malmö kommun,exakt_en_lista,,scb_roster_2022_trend+vallagen_fast_plus_utjamning,listordning,,Malmö kommun,Plats 2 på partiets lista i valkretsen. Kandidaten står bara på den listan.,"K,R",2,2,2,31719,Morgan Svensson,56,M,Malmö,"57 år, Byggnadsarbetare",https://data.val.se/filer/val2026/parti/kandidaturer.csv
