institut,datum,urval,urval_skattat,V,S,MP,C,L,M,KD,SD
Demoskop,2026-09-11,2100,True,7.5,29.7,5.6,7.7,4.7,16.7,7.6,19.0
Verian,2026-09-10,3000,True,7.7,27.6,8.0,8.2,5.5,15.8,6.5,18.1
Novus,2026-09-10,2330,True,6.6,28.6,6.4,9.2,4.7,18.1,5.5,19.5
Ipsos,2026-09-10,1800,True,7.6,27.4,6.8,7.6,5.0,18.3,6.9,18.8
Indikator,2026-09-10,2500,True,7.8,28.6,6.9,7.5,5.4,16.8,7.1,18.3
Sentio,2026-09-09,1000,True,9.2,26.5,8.3,7.2,5.1,17.3,4.4,19.3
Novus,2026-09-08,2330,True,7.5,26.6,8.8,7.8,5.8,16.6,6.4,19.3
Ipsos,2026-09-07,1800,True,8.8,27.1,8.6,8.2,3.5,17.4,6.3,17.7
Novus,2026-09-05,2330,True,7.8,27.0,7.8,7.7,4.3,17.9,6.0,19.7
Indikator,2026-09-04,2500,True,9.3,27.9,6.8,7.3,2.2,18.4,6.6,19.3
Verian,2026-09-02,3000,True,8.1,29.2,8.0,7.4,3.0,16.4,6.3,18.9
Demoskop,2026-09-01,2100,True,7.9,27.2,6.9,8.6,2.8,16.6,7.9,20.0
Novus,2026-08-30,2330,True,8.4,25.8,7.8,8.3,3.3,17.2,6.5,20.7
Sentio,2026-08-26,1000,True,9.2,27.9,7.9,6.4,2.1,18.3,4.6,20.9
Demoskop,2026-08-24,2100,True,6.8,30.4,6.8,7.7,2.0,17.2,8.5,18.3
Indikator,2026-08-23,2500,True,7.6,31.3,6.5,5.9,2.2,18.9,5.8,19.7
Ipsos,2026-08-23,1800,True,9.0,30.3,6.8,6.3,2.3,17.9,6.1,19.3
Novus,2026-08-16,2330,True,7.4,30.1,7.9,7.1,1.9,18.3,6.3,19.1
Verian,2026-08-16,3000,True,7.7,30.5,7.7,8.0,1.9,17.3,6.2,18.5
Demoskop,2026-08-10,2100,True,6.5,30.2,6.6,7.3,2.4,16.8,7.5,20.2
Novus,2026-07-19,2330,True,7.8,31.8,7.2,6.6,1.8,17.3,6.1,20.4
Sentio,2026-07-15,1000,True,8.5,33.4,7.5,5.2,1.71,15.8,5.0,20.6
Indikator,2026-06-21,2500,True,7.8,32.5,6.3,7.0,1.7,17.7,6.1,19.2
Sentio,2026-06-18,1000,True,8.0,30.1,8.6,6.3,2.1,16.8,5.3,21.5
Demoskop,2026-06-17,2100,True,7.6,31.3,7.6,6.2,2.9,16.3,6.5,19.4
Novus,2026-06-14,2330,True,8.9,32.6,6.4,6.1,2.2,16.6,5.6,20.0
Ipsos,2026-06-14,1800,True,9.6,31.2,7.1,5.9,1.3,17.5,6.1,19.3
Verian,2026-06-07,3000,True,8.7,31.6,7.8,5.4,2.0,17.1,6.0,18.9
SCB,2026-05-28,4500,True,8.6,33.9,6.6,6.1,2.5,17.3,4.5,18.3
Ipsos,2026-05-25,1800,True,8.33,31.67,6.33,6.33,2.33,19.33,4.67,19.67
Indikator,2026-05-24,2500,True,7.8,33.7,6.1,6.3,2.0,17.5,4.3,20.4
Demoskop,2026-05-24,2100,True,7.6,31.9,8.1,6.0,3.1,16.7,5.7,19.0
Sentio,2026-05-18,1000,True,8.1,32.4,7.5,5.7,2.3,14.6,5.0,22.6
Novus,2026-05-17,2330,True,8.8,30.9,7.1,6.0,2.4,18.2,5.6,19.2
Verian,2026-05-10,3000,True,7.9,32.5,7.9,5.5,2.0,17.2,5.1,18.9
Indikator,2026-04-27,2500,True,7.2,33.6,5.7,6.4,2.4,18.3,5.0,19.4
Ipsos,2026-04-27,1800,True,9.33,32.33,6.67,6.33,2.33,18.67,5.33,18.67
Demoskop,2026-04-24,2100,True,7.1,33.2,7.2,5.9,4.0,16.5,4.8,19.9
Novus,2026-04-19,2330,True,7.6,32.4,6.1,6.6,2.9,18.4,4.8,19.8
Verian,2026-04-06,3000,True,7.7,32.7,6.1,6.8,2.2,16.8,5.7,20.0
Indikator,2026-03-29,2500,True,7.0,33.4,5.7,5.7,2.2,18.4,4.6,20.6
Sentio,2026-03-25,1000,True,9.0,31.0,6.6,5.1,2.54,18.0,4.8,21.3
Ipsos,2026-03-22,1800,True,8.67,32.67,5.67,5.67,1.67,18.33,4.0,19.67
Demoskop,2026-03-19,2100,True,7.5,31.1,6.6,5.9,4.5,17.3,5.0,19.9
Novus,2026-03-18,2330,True,7.5,32.7,5.7,6.3,2.3,17.5,5.1,21.0
Verian,2026-03-08,3000,True,7.7,32.4,6.5,5.9,2.1,17.0,5.3,21.1
Sentio,2026-02-25,1000,True,9.0,31.3,6.7,4.9,2.6,17.2,4.7,21.7
Demoskop,2026-02-24,2100,True,6.8,33.3,6.3,5.5,2.5,17.2,5.3,21.2
Indikator,2026-02-23,2500,True,8.1,35.2,4.7,5.3,1.3,18.8,3.8,21.3
Ipsos,2026-02-23,1800,True,8.67,33.33,5.67,6.33,1.67,17.33,5.33,20.33
Novus,2026-02-15,2330,True,7.4,34.6,5.1,5.2,2.1,17.5,3.8,22.9
Verian,2026-02-08,3000,True,7.4,34.3,6.0,4.6,2.0,18.2,5.6,20.1
Ipsos,2026-01-29,1800,True,7.67,34.33,5.67,4.67,2.33,18.0,3.67,20.67
Demoskop,2026-01-26,2100,True,7.4,33.1,6.1,4.5,2.6,17.8,5.4,20.8
Indikator,2026-01-25,2500,True,7.5,35.4,4.7,5.3,1.4,18.9,3.9,21.4
Novus,2026-01-18,2330,True,6.9,34.2,5.5,4.8,2.4,17.5,4.3,22.5
Sentio,2026-01-15,1000,True,7.7,33.1,5.4,4.1,1.65,15.6,4.7,25.5
Verian,2026-01-11,3000,True,7.2,33.8,6.6,5.5,1.8,17.5,4.3,21.3
Indikator,2025-12-29,2500,True,7.1,35.2,6.4,3.8,2.1,18.4,3.9,21.4
Sentio,2025-12-17,1000,True,8.5,31.1,5.3,4.8,2.6,18.1,5.6,22.0
Demoskop,2025-12-16,2100,True,6.7,33.6,6.2,5.4,2.0,16.8,4.8,21.5
Ipsos,2025-12-14,1800,True,7.67,34.33,5.67,4.33,2.33,18.33,4.0,21.67
Novus,2025-12-14,2330,True,6.2,34.1,5.1,4.9,2.4,17.6,3.9,23.7
Verian,2025-12-07,3000,True,6.8,34.7,6.1,4.7,2.3,17.3,5.0,20.4
Demoskop,2025-11-24,2100,True,6.3,33.1,6.4,5.0,2.4,18.2,4.7,21.4
Indikator,2025-11-24,2500,True,6.2,36.3,5.2,4.3,2.2,18.1,5.4,20.3
Sentio,2025-11-19,1000,True,7.3,33.0,5.4,4.0,1.93,18.8,3.2,24.0
Ipsos,2025-11-17,1800,True,7.67,36.33,5.67,4.67,1.67,16.67,3.67,20.67
Novus,2025-11-16,2330,True,6.3,34.3,5.4,5.1,2.2,19.4,3.7,21.0
Verian,2025-11-09,3000,True,7.4,33.8,6.9,4.9,2.2,18.5,4.0,20.0
Indikator,2025-10-27,2500,True,6.6,35.4,4.7,5.5,2.0,17.4,4.3,22.9
Demoskop,2025-10-27,2100,True,7.0,32.6,7.4,5.1,2.3,18.4,4.1,21.6
Sentio,2025-10-22,1000,True,6.9,33.4,5.2,4.5,2.79,17.5,4.6,24.4
Ipsos,2025-10-19,1800,True,6.67,32.67,5.67,5.67,3.33,18.67,3.67,21.33
Novus,2025-10-19,2330,True,6.9,34.9,4.4,5.4,2.2,18.0,4.0,22.6
Verian,2025-10-05,3000,True,7.5,34.8,5.8,4.7,2.6,17.9,4.2,20.1
Demoskop,2025-09-22,2100,True,6.2,34.1,6.5,4.8,2.3,18.7,4.9,20.2
Ipsos,2025-09-21,1800,True,7.0,35.0,4.33,6.0,2.67,18.0,3.67,21.0
Novus,2025-09-19,2330,True,6.6,34.6,4.6,5.2,3.0,17.0,3.1,23.9
